CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19970628 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 9.815
Integrated O3 until EOF (DU)     : 214.863
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, CCE64B
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
14.1      146.480   215.840     0.000     2.000   136.540    37.417  9000.000  9000.000   373.040   373.770     0.00000
14.2      144.160   215.080     0.000     2.000   138.740    37.668  9000.000  9000.000   373.420   374.160     0.00000
14.3      141.890   214.310     0.000     2.000   140.950    37.919  9000.000  9000.000   373.770   374.520     0.00000
14.4      139.630   213.610     0.000     2.000   143.230    38.171  9000.000  9000.000   374.250   375.000     0.00000
14.5      137.420   213.450     0.000     2.000   145.540    38.423  9000.000  9000.000   375.670   376.430     0.00000
14.6      135.240   214.680     0.000     2.176   160.930    38.696  9000.000  9000.000   379.560   380.340     0.00000
14.7      133.100   213.920     0.000     2.200   165.290    38.973  9000.000  9000.000   379.940   380.720     0.00000
14.8      130.990   213.770     0.000     2.200   167.950    39.250  9000.000  9000.000   381.420   382.210     0.00000
14.9      128.900   213.280     0.000     2.200   170.670    39.528  9000.000  9000.000   382.280   383.070     0.00000
15.0      126.860   212.770     0.000     2.200   173.410    39.807  9000.000  9000.000   383.100   383.910     0.00000
15.1      124.840   212.890     0.000     2.040   163.410    40.065  9000.000  9000.000   385.080   385.900     0.00000
15.2      122.850   213.220     0.000     2.168   176.460    40.338  9000.000  9000.000   387.440   388.270     0.00000
15.3      120.890   213.250     0.000     2.200   181.980    40.616  9000.000  9000.000   389.280   390.110     0.00000
15.4      118.970   213.250     0.000     2.100   176.520    40.881  9000.000  9000.000   391.060   391.910     0.00000
15.5      117.080   213.410     0.000     2.178   186.010    41.156  9000.000  9000.000   393.140   393.990     0.00000
15.6      115.220   212.760     0.000     2.198   190.790    41.434  9000.000  9000.000   393.730   394.600     0.00000
15.7      113.370   211.980     0.000     2.100   185.230    41.701  9000.000  9000.000   394.110   394.980     0.00000
15.8      111.560   211.370     0.000     2.194   196.660    41.981  9000.000  9000.000   394.790   395.670     0.00000
15.9      109.870   210.430     0.000     2.100   191.140    42.249  9000.000  9000.000   394.740   395.630     0.00000
16.0      108.090   209.620     0.000     2.174   201.120    42.528  9000.000  9000.000   395.050   395.950     0.00000
16.1      106.340   209.210     0.000     2.100   197.480    42.799  9000.000  9000.000   396.110   397.020     0.00000
16.2      104.610   208.740     0.000     2.211   211.310    43.084  9000.000  9000.000   397.070   397.980     0.00000
16.3      102.930   208.690     0.000     2.368   230.030    43.389  9000.000  9000.000   398.810   399.730     0.00000
16.4      101.250   209.350     0.000     2.650   261.730    43.730  9000.000  9000.000   401.950   402.890     0.00000
16.5       99.612   209.350     0.000     2.900   291.130    44.103  9000.000  9000.000   403.830   404.770     0.00000
16.6       98.000   208.750     1.000     2.800   285.710    44.464  9000.000  9000.000   404.540   405.500     0.00000
16.7       96.400   208.350     0.000     2.800   290.460    44.826  9000.000  9000.000   405.670   406.630     0.00000
16.8       94.837   207.830     0.000     2.800   295.240    45.189  9000.000  9000.000   406.540   407.510     0.00000
16.9       93.293   207.570     0.000     2.785   298.500    45.550  9000.000  9000.000   407.930   408.910     0.00000
17.0       91.771   207.650     0.000     2.800   305.110    45.913  9000.000  9000.000   410.010   411.010     0.00000
17.1       90.271   207.540     0.000     2.800   310.180    46.277  9000.000  9000.000   411.710   412.720     0.00000
17.2       88.794   206.910     0.000     2.800   315.340    46.641  9000.000  9000.000   412.400   413.410     0.00000
17.3       87.345   206.410     0.000     2.816   322.410    47.008  9000.000  9000.000   413.350   414.380     0.00000
17.4       85.900   205.750     0.000     3.100   360.880    47.414  9000.000  9000.000   413.980   415.020     0.00000
17.5       84.486   205.810     0.000     3.188   377.310    47.831  9000.000  9000.000   416.070   417.120     0.00000
17.6       83.103   206.290     0.000     3.183   382.990    48.247  9000.000  9000.000   419.010   420.070     0.00000
