CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19950805 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 5.873
Integrated O3 until EOF (DU)     : 217.166
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, OS815N
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
20.3       53.111   212.380     0.000    11.331  2133.500    64.767  9000.000  9000.000   490.050   491.510     0.00000
20.4       52.267   212.820     0.000    11.462  2193.000    66.218  9000.000  9000.000   493.310   494.790     0.00000
20.5       51.434   213.670     0.000    11.589  2253.200    67.678  9000.000  9000.000   497.550   499.050     0.00000
20.6       50.618   213.850     0.000    11.444  2260.800    69.119  9000.000  9000.000   500.240   501.760     0.00000
20.7       49.816   213.750     0.000    10.913  2190.700    70.494  9000.000  9000.000   502.290   503.820     0.00000
20.8       49.028   213.550     0.000    10.831  2209.200    71.859  9000.000  9000.000   504.100   505.650     0.00000
20.9       48.248   213.550     0.000    10.323  2139.600    73.161  9000.000  9000.000   506.410   507.970     0.00000
21.0       47.486   213.470     0.000     9.564  2014.000    74.367  9000.000  9000.000   508.520   510.100     0.00000
21.1       46.733   213.550     0.000     9.284  1986.600    75.538  9000.000  9000.000   511.030   512.630     0.00000
21.2       45.986   213.550     0.000     9.103  1979.500    76.686  9000.000  9000.000   513.380   514.990     0.00000
21.3       45.261   213.510     0.000     9.319  2059.000    77.861  9000.000  9000.000   515.610   517.240     0.00000
21.4       44.543   213.380     0.000     9.000  2020.500    78.997  9000.000  9000.000   517.650   519.290     0.00000
